#Engineering-Data-Exchange - B.I.G.-EU
PROJECT_NAME
VERSION_OF_REFERENCEFILE
TIMESTAMP_OF_LAST_CHANGE;28/04/2026
AUTHOR_OF_LAST_CHANGE;YABE Yet Another Bacnet Explorer
VERSION_OF_LAYOUT;2.3
#mandatory;mandator;mandatory;mandatory;mandatory;optional;optional;optional;optional;optional;optional;optional;optional;optional;optional;optional
# keyname;device obj.-instance;object-name;object-type;object-instance;description;present-value-default;min-present-value;max-present-value;settable;supports COV;hi-limit;low-limit;state-text-reference;unit-code;vendor-specific-addres
OBJECT_ANALOG_VALUE:24;364004;WirelessOffset3;2;24;;;;;;;;;;95
OBJECT_ANALOG_VALUE:25;364004;WirelessTemp4;2;25;;;;;;;;;;95
OBJECT_ANALOG_VALUE:26;364004;WirelessOffset4;2;26;;;;;;;;;;95
OBJECT_ANALOG_VALUE:27;364004;TempFinale1;2;27;;;;;;;;;;95
OBJECT_ANALOG_VALUE:28;364004;TempFinale2;2;28;;;;;;;;;;95
OBJECT_ANALOG_VALUE:29;364004;TempFinale3;2;29;;;;;;;;;;95
OBJECT_ANALOG_VALUE:30;364004;TempFinale4;2;30;;;;;;;;;;95
OBJECT_ANALOG_VALUE:31;364004;OffsetFinal1;2;31;;;;;;;;;;95
OBJECT_ANALOG_VALUE:32;364004;OffsetFinal2;2;32;;;;;;;;;;95
OBJECT_ANALOG_VALUE:33;364004;OffsetFinal3;2;33;;;;;;;;;;95
OBJECT_ANALOG_VALUE:34;364004;OffsetFinal4;2;34;;;;;;;;;;95
OBJECT_ANALOG_VALUE:35;364004;ConsigneFinale1;2;35;;;;;;;;;;95
OBJECT_ANALOG_VALUE:36;364004;ConsigneFinale2;2;36;;;;;;;;;;95
OBJECT_ANALOG_VALUE:37;364004;ConsigneFinale3;2;37;;;;;;;;;;95
OBJECT_ANALOG_VALUE:38;364004;ConsigneFinale4;2;38;;;;;;;;;;95
OBJECT_ANALOG_VALUE:39;364004;Versionfordisplay;2;39;;;;;;;;;;95
OBJECT_ANALOG_VALUE:40;364004;NbrePieces;2;40;;;;;;;;;;95
OBJECT_ANALOG_VALUE:41;364004;Ipadoffset;2;41;;;;;;;;;;95
OBJECT_ANALOG_VALUE:42;364004;LowOffsetLimit;2;42;;;;;;;;;;62
OBJECT_ANALOG_VALUE:43;364004;HighOffsetLimit;2;43;;;;;;;;;;62
OBJECT_ANALOG_VALUE:44;364004;ConsigneTemperatureEcoETE1;2;44;;;;;;;;;;62
OBJECT_ANALOG_VALUE:45;364004;ConsigneTemperatureEcoETE2;2;45;;;;;;;;;;62
OBJECT_ANALOG_VALUE:46;364004;ConsigneTemperatureEcoETE3;2;46;;;;;;;;;;62
OBJECT_ANALOG_VALUE:47;364004;ConsigneTemperatureEcoETE4;2;47;;;;;;;;;;62
OBJECT_ANALOG_VALUE:48;364004;ConsigneTemperatureEcoETE4;2;48;;;;;;;;;;62
OBJECT_ANALOG_VALUE:49;364004;offset2ipad;2;49;;;;;;;;;;95
OBJECT_ANALOG_VALUE:50;364004;offset3ipad;2;50;;;;;;;;;;95
OBJECT_ANALOG_VALUE:51;364004;offset4ipad;2;51;;;;;;;;;;95
OBJECT_ANALOG_VALUE:52;364004;offset1ipad;2;52;;;;;;;;;;95
OBJECT_ANALOG_VALUE:53;364004;CoeffOffset;2;53;;;;;;;;;;95
OBJECT_BINARY_INPUT:5004;364004;ComSensor 1 Motion;3;5004;;;;;;;;;0;
OBJECT_BINARY_OUTPUT:6;364004;Vanne;4;6;;;;;;;;;1;
OBJECT_BINARY_VALUE:1;364004;DemandeChaud1;5;1;;;;;;;;;1;
OBJECT_BINARY_VALUE:2;364004;DemandeChaud2;5;2;;;;;;;;;1;
OBJECT_BINARY_VALUE:3;364004;DemandeChaud3;5;3;;;;;;;;;1;
OBJECT_BINARY_VALUE:4;364004;DemandeChaud4;5;4;;;;;;;;;1;
OBJECT_BINARY_VALUE:5;364004;DemandeFroid1;5;5;;;;;;;;;1;
OBJECT_BINARY_VALUE:6;364004;DemandeFroid2;5;6;;;;;;;;;1;
OBJECT_BINARY_VALUE:7;364004;DemandeFroid3;5;7;;;;;;;;;1;
OBJECT_BINARY_VALUE:8;364004;DemandeFroid4;5;8;;;;;;;;;1;
OBJECT_BINARY_VALUE:11;364004;EnableChgOver;5;11;;;;;;;;;2;
OBJECT_MULTI_STATE_VALUE:1;364004;ModeConfortEco;19;1;;;;;;;;;3;
OBJECT_MULTI_STATE_VALUE:2;364004;ModeChangeOver;19;2;;;;;;;;;4;
OBJECT_MULTI_STATE_VALUE:50;364004;ModeConfortEcoIpad;19;50;;;;;;;;;3;
